Project,Category,Value
Elmhurst Station (LIRR),Cost: Escalation from original estimate year to Q1 2022 (varies),"$18,144,000 "
Elmhurst Station (LIRR),Cost: Escalation from Q1 2022 to Q3 2027,"$36,219,000 "
Elmhurst Station (LIRR),Cost: Escalation from Q1 2023 to Q3 2027,N/A
Elmhurst Station (LIRR),Network Leverage: % on MTA Right of Way,98%
Elmhurst Station (LIRR),Network Leverage: % on Public Right of Way,2%
Elmhurst Station (LIRR),Network Leverage: % on Private Right of Way,0%
Harlem Line Capacity Improvements,Description,"Construction of a third mainline track on the Metro-North Railroad Harlem Line between Crestwood and North White Plains, along with capital investments in power, signals, and communications, and capacity improvements and associated investments at Brewster Yard."
Harlem Line Capacity Improvements,Objectives,"Provide more service during peak periods to accommodate future growth and reduces crowding, improves operational flexibility and service reliability, enhances opportunity for improved reverse peak service, allows for track maintenance without reducing capacity or limiting reverse peak service, and adds additional train service at Scarsdale, Hartsdale, and White Plains."
Harlem Line Capacity Improvements,Total Construction Cost ($2027),"$1,000,000,000 "
Harlem Line Capacity Improvements,Cost: Vehicles ($2027),"$329,939,000 "
Harlem Line Capacity Improvements,Annual O&M Cost ($2027),"$65,000,000 "
Harlem Line Capacity Improvements,Daily Riders (2045),"83,700"
Harlem Line Capacity Improvements,New Daily Riders (2045),500
Harlem Line Capacity Improvements,Equity Area Riders (2045),"47,530"
Harlem Line Capacity Improvements,Travel Time Saved Per Trip (minutes),1.8
Harlem Line Capacity Improvements,Cost/Time Saved metric,Cost/minute
Harlem Line Capacity Improvements,Cost/Time Saved result,$2.46 
Harlem Line Capacity Improvements,Cost/Time Saved score,89
Harlem Line Capacity Improvements,Equity metric,Percent
Harlem Line Capacity Improvements,Equity result,56.80%
Harlem Line Capacity Improvements,Equity score,45
Harlem Line Capacity Improvements,Sustainability metric,Change in daily vehicle miles traveled
Harlem Line Capacity Improvements,Sustainability result,"-13,495"
Harlem Line Capacity Improvements,Sustainability score,36
Harlem Line Capacity Improvements,Resiliency metric,Number of Rail Connections
Harlem Line Capacity Improvements,Resiliency result,12
Harlem Line Capacity Improvements,Resiliency score,67
Harlem Line Capacity Improvements,Capacity metric,Change in passenger hours
Harlem Line Capacity Improvements,Capacity result,-453
Harlem Line Capacity Improvements,Capacity score,5
Harlem Line Capacity Improvements,Geographic distribution metric,Change in hours
Harlem Line Capacity Improvements,Geographic distribution result,"-6,520"
Harlem Line Capacity Improvements,Geographic distribution score,25
Harlem Line Capacity Improvements,Network leverage metric,Percent
Harlem Line Capacity Improvements,Network leverage result,1
Harlem Line Capacity Improvements,Network leverage score,100
Harlem Line Capacity Improvements,Cost: Guideway and Track Elements,"$44,209,000 "
Harlem Line Capacity Improvements,"Cost: Stations, Stops, Terminals, Intermodal","$68,989,000 "
Harlem Line Capacity Improvements,Cost: Support Facilities,$0 
Harlem Line Capacity Improvements,Cost: Sitework and Special Considerations,"$166,238,000 "
Harlem Line Capacity Improvements,Cost: Systems,"$80,163,000 "
Harlem Line Capacity Improvements,Cost: Engineering Contingency,"$63,459,000 "
Harlem Line Capacity Improvements,"Cost: Right-of-Way (ROW), Land, and Existing Improvements","$20,000,000 "
Harlem Line Capacity Improvements,Cost: Professional Services,"$202,910,000 "
Harlem Line Capacity Improvements,Cost: Contingency,"$93,788,000 "
Harlem Line Capacity Improvements,Cost: Original Estimate Year,2020
Harlem Line Capacity Improvements,Cost: Escalation from original estimate year to Q1 2022 (varies),"$86,182,000 "
Harlem Line Capacity Improvements,Cost: Escalation from Q1 2022 to Q3 2027,"$172,036,000 "
Harlem Line Capacity Improvements,Cost: Escalation from Q1 2023 to Q3 2027,N/A
Harlem Line Capacity Improvements,Network Leverage: % on MTA Right of Way,100%
Harlem Line Capacity Improvements,Network Leverage: % on Public Right of Way,0%
Harlem Line Capacity Improvements,Network Leverage: % on Private Right of Way,0%
Hudson Line to Penn Station,Description,"Provision of Metro-North Railroad Hudson Line commuter rail service between Poughkeepsie and Penn Station via Amtrak’s Empire Connection, with one potential new station in Harlem (125th Street and Broadway) and additional fleet storage in Poughkeepsie."
Hudson Line to Penn Station,Objectives,Provide additional transit options and one-seat rides for commuters traveling to/from Manhattan’s West Side
Hudson Line to Penn Station,Total Construction Cost ($2027),"$750,000,000 "
Hudson Line to Penn Station,Cost: Vehicles ($2027),"$765,939,000 "
Hudson Line to Penn Station,Annual O&M Cost ($2027),"$141,000,000 "
Hudson Line to Penn Station,Daily Riders (2045),"18,900"
Hudson Line to Penn Station,New Daily Riders (2045),"1,900"
Hudson Line to Penn Station,Equity Area Riders (2045),"14,770"
Hudson Line to Penn Station,Travel Time Saved Per Trip (minutes),7.3
Hudson Line to Penn Station,Cost/Time Saved metric,Cost/minute
Hudson Line to Penn Station,Cost/Time Saved result,$4.54 
Hudson Line to Penn Station,Cost/Time Saved score,73
Hudson Line to Penn Station,Equity metric,Percent
Hudson Line to Penn Station,Equity result,78.10%
Hudson Line to Penn Station,Equity score,73
Hudson Line to Penn Station,Sustainability metric,Change in daily vehicle miles traveled
Hudson Line to Penn Station,Sustainability result,"-45,911"
Hudson Line to Penn Station,Sustainability score,71
Hudson Line to Penn Station,Resiliency metric,Number of Rail Connections
Hudson Line to Penn Station,Resiliency result,18
Hudson Line to Penn Station,Resiliency score,100
Hudson Line to Penn Station,Capacity metric,Change in passenger hours
Hudson Line to Penn Station,Capacity result,"-2,526"
Hudson Line to Penn Station,Capacity score,31
Hudson Line to Penn Station,Geographic distribution metric,Change in hours
Hudson Line to Penn Station,Geographic distribution result,"-9,891"
Hudson Line to Penn Station,Geographic distribution score,38
Hudson Line to Penn Station,Network leverage metric,Percent
Hudson Line to Penn Station,Network leverage result,0.93
Hudson Line to Penn Station,Network leverage score,90
Hudson Line to Penn Station,Cost: Guideway and Track Elements,"$5,727,000 "
Hudson Line to Penn Station,"Cost: Stations, Stops, Terminals, Intermodal","$56,720,000 "
Hudson Line to Penn Station,Cost: Support Facilities,"$36,359,000 "
Hudson Line to Penn Station,Cost: Sitework and Special Considerations,"$114,126,000 "
Hudson Line to Penn Station,Cost: Systems,"$22,878,000 "
Hudson Line to Penn Station,Cost: Engineering Contingency,"$41,614,000 "
Hudson Line to Penn Station,"Cost: Right-of-Way (ROW), Land, and Existing Improvements","$13,000,000 "
Hudson Line to Penn Station,Cost: Professional Services,"$209,870,000 "
Hudson Line to Penn Station,Cost: Contingency,"$55,485,000 "
Hudson Line to Penn Station,Cost: Original Estimate Year,2020
Hudson Line to Penn Station,Cost: Escalation from original estimate year to Q1 2022 (varies),"$64,748,000 "
Hudson Line to Penn Station,Cost: Escalation from Q1 2022 to Q3 2027,"$129,251,000 "
Hudson Line to Penn Station,Cost: Escalation from Q1 2023 to Q3 2027,N/A
Hudson Line to Penn Station,Network Leverage: % on MTA Right of Way,85%
Hudson Line to Penn Station,Network Leverage: % on Public Right of Way,15%
Hudson Line to Penn Station,Network Leverage: % on Private Right of Way,0%
Inner New Haven Line Yard (Port Chester),Description,Construction of a new fleet storage yard located between the Rye and Port Chester Stations on the Metro-North Railroad New Haven Line in New York.
Inner New Haven Line Yard (Port Chester),Objectives,"Support the storage needs for additional fleet needed to meet ridership demand and increased service levels on the Inner New Haven Line. Improve operational efficiency, flexibility, and service reliability, and provide opportunity for enhanced reverse peak service."
Inner New Haven Line Yard (Port Chester),Total Construction Cost ($2027),"$390,000,000 "
Inner New Haven Line Yard (Port Chester),Cost: Vehicles ($2027),N/A
Inner New Haven Line Yard (Port Chester),Annual O&M Cost ($2027),"$5,000,000 "
Inner New Haven Line Yard (Port Chester),Daily Riders (2045),"6,000"
Inner New Haven Line Yard (Port Chester),New Daily Riders (2045),30
Inner New Haven Line Yard (Port Chester),Equity Area Riders (2045),"2,860"
Inner New Haven Line Yard (Port Chester),Travel Time Saved Per Trip (minutes),2.1
Inner New Haven Line Yard (Port Chester),Cost/Time Saved metric,Cost/minute
Inner New Haven Line Yard (Port Chester),Cost/Time Saved result,$5.07 
Inner New Haven Line Yard (Port Chester),Cost/Time Saved score,69
Inner New Haven Line Yard (Port Chester),Equity metric,Percent
Inner New Haven Line Yard (Port Chester),Equity result,47.70%
Inner New Haven Line Yard (Port Chester),Equity score,33
Inner New Haven Line Yard (Port Chester),Sustainability metric,Change in daily vehicle miles traveled
Inner New Haven Line Yard (Port Chester),Sustainability result,-315
Inner New Haven Line Yard (Port Chester),Sustainability score,22
Inner New Haven Line Yard (Port Chester),Resiliency metric,Number of Rail Connections
Inner New Haven Line Yard (Port Chester),Resiliency result,0
Inner New Haven Line Yard (Port Chester),Resiliency score,0
Inner New Haven Line Yard (Port Chester),Capacity metric,Change in passenger hours
Inner New Haven Line Yard (Port Chester),Capacity result,-212
Inner New Haven Line Yard (Port Chester),Capacity score,2
Inner New Haven Line Yard (Port Chester),Geographic distribution metric,Change in hours
Inner New Haven Line Yard (Port Chester),Geographic distribution result,61
Inner New Haven Line Yard (Port Chester),Geographic distribution score,0
Inner New Haven Line Yard (Port Chester),Network leverage metric,Percent
Inner New Haven Line Yard (Port Chester),Network leverage result,0.85
Inner New Haven Line Yard (Port Chester),Network leverage score,80
Inner New Haven Line Yard (Port Chester),Cost: Guideway and Track Elements,"$7,969,000 "
Inner New Haven Line Yard (Port Chester),"Cost: Stations, Stops, Terminals, Intermodal",$0 
Inner New Haven Line Yard (Port Chester),Cost: Support Facilities,"$2,579,000 "
Inner New Haven Line Yard (Port Chester),Cost: Sitework and Special Considerations,"$71,165,000 "
Inner New Haven Line Yard (Port Chester),Cost: Systems,"$62,391,000 "
Inner New Haven Line Yard (Port Chester),Cost: Engineering Contingency,"$25,430,000 "
Inner New Haven Line Yard (Port Chester),"Cost: Right-of-Way (ROW), Land, and Existing Improvements","$13,500,000 "
Inner New Haven Line Yard (Port Chester),Cost: Professional Services,"$73,358,000 "
Inner New Haven Line Yard (Port Chester),Cost: Contingency,"$33,907,000 "
Inner New Haven Line Yard (Port Chester),Cost: Original Estimate Year,2021
Inner New Haven Line Yard (Port Chester),Cost: Escalation from original estimate year to Q1 2022 (varies),"$28,391,000 "
Inner New Haven Line Yard (Port Chester),Cost: Escalation from Q1 2022 to Q3 2027,"$66,381,000 "
Inner New Haven Line Yard (Port Chester),Cost: Escalation from Q1 2023 to Q3 2027,N/A
Inner New Haven Line Yard (Port Chester),Network Leverage: % on MTA Right of Way,80%
Inner New Haven Line Yard (Port Chester),Network Leverage: % on Public Right of Way,0%
Inner New Haven Line Yard (Port Chester),Network Leverage: % on Private Right of Way,20%
Interborough Express Light Rail Transit (LRT) (IBX),Description,"A new transit line between Queens and Brooklyn along an existing freight corridor, connecting to 17 subway lines (2 3 5 7 A B C D E F J L M N R Q Z), and the Long Island Rail Road (LIRR), serving areas of Brooklyn and Queens."
Interborough Express Light Rail Transit (LRT) (IBX),Objectives,Reduce travel times on transit between Brooklyn and Queens and divert trips from overburdened Manhattan-bound subway lines.
Interborough Express Light Rail Transit (LRT) (IBX),Total Construction Cost ($2027),"$5,540,000,000 "
Interborough Express Light Rail Transit (LRT) (IBX),Cost: Vehicles ($2027),"$432,250,000 "
Interborough Express Light Rail Transit (LRT) (IBX),Annual O&M Cost ($2027),"$83,000,000 "
Interborough Express Light Rail Transit (LRT) (IBX),Daily Riders (2045),"118,700"
Interborough Express Light Rail Transit (LRT) (IBX),New Daily Riders (2045),"13,200"
Interborough Express Light Rail Transit (LRT) (IBX),Equity Area Riders (2045),"112,440"
Interborough Express Light Rail Transit (LRT) (IBX),Travel Time Saved Per Trip (minutes),5.9
Interborough Express Light Rail Transit (LRT) (IBX),Cost/Time Saved metric,Cost/minute
Interborough Express Light Rail Transit (LRT) (IBX),Cost/Time Saved result,$1.29 
Interborough Express Light Rail Transit (LRT) (IBX),Cost/Time Saved score,98
Interborough Express Light Rail Transit (LRT) (IBX),Equity metric,Percent
Interborough Express Light Rail Transit (LRT) (IBX),Equity result,94.70%
Interborough Express Light Rail Transit (LRT) (IBX),Equity score,94
Interborough Express Light Rail Transit (LRT) (IBX),Sustainability metric,Change in daily vehicle miles traveled
Interborough Express Light Rail Transit (LRT) (IBX),Sustainability result,"-72,687"
Interborough Express Light Rail Transit (LRT) (IBX),Sustainability score,100
Interborough Express Light Rail Transit (LRT) (IBX),Resiliency metric,Number of Rail Connections
Interborough Express Light Rail Transit (LRT) (IBX),Resiliency result,18
Interborough Express Light Rail Transit (LRT) (IBX),Resiliency score,100
Interborough Express Light Rail Transit (LRT) (IBX),Capacity metric,Change in passenger hours
Interborough Express Light Rail Transit (LRT) (IBX),Capacity result,"-2,375"
Interborough Express Light Rail Transit (LRT) (IBX),Capacity score,29
Interborough Express Light Rail Transit (LRT) (IBX),Geographic distribution metric,Change in hours
Interborough Express Light Rail Transit (LRT) (IBX),Geographic distribution result,"-47,557"
Interborough Express Light Rail Transit (LRT) (IBX),Geographic distribution score,100
Interborough Express Light Rail Transit (LRT) (IBX),Network leverage metric,Percent
Interborough Express Light Rail Transit (LRT) (IBX),Network leverage result,0.86
Interborough Express Light Rail Transit (LRT) (IBX),Network leverage score,82
Interborough Express Light Rail Transit (LRT) (IBX),Cost: Guideway and Track Elements,"$306,960,000 "
Interborough Express Light Rail Transit (LRT) (IBX),"Cost: Stations, Stops, Terminals, Intermodal","$112,230,000 "
Interborough Express Light Rail Transit (LRT) (IBX),Cost: Support Facilities,"$90,749,000 "
Interborough Express Light Rail Transit (LRT) (IBX),Cost: Sitework and Special Considerations,"$1,515,247,000 "
Interborough Express Light Rail Transit (LRT) (IBX),Cost: Systems,"$369,727,000 "
Interborough Express Light Rail Transit (LRT) (IBX),Cost: Engineering Contingency,"$422,632,000 "
Interborough Express Light Rail Transit (LRT) (IBX),"Cost: Right-of-Way (ROW), Land, and Existing Improvements","$24,500,000 "
Interborough Express Light Rail Transit (LRT) (IBX),Cost: Professional Services,"$589,430,000 "
Interborough Express Light Rail Transit (LRT) (IBX),Cost: Contingency,"$563,509,000 "
Interborough Express Light Rail Transit (LRT) (IBX),Cost: Original Estimate Year,2020
Interborough Express Light Rail Transit (LRT) (IBX),Cost: Escalation from original estimate year to Q1 2022 (varies),"$515,773,000 "
Interborough Express Light Rail Transit (LRT) (IBX),Cost: Escalation from Q1 2022 to Q3 2027,"$1,029,589,000 "
Interborough Express Light Rail Transit (LRT) (IBX),Cost: Escalation from Q1 2023 to Q3 2027,N/A
Interborough Express Light Rail Transit (LRT) (IBX),Network Leverage: % on MTA Right of Way,80%
Interborough Express Light Rail Transit (LRT) (IBX),Network Leverage: % on Public Right of Way,5%
Interborough Express Light Rail Transit (LRT) (IBX),Network Leverage: % on Private Right of Way,15%
Lower Montauk Branch Reactivation,Description,"Reactivation of an approximately nine-mile segment of the Long Island Rail Road Lower Montauk Branch between Jamaica and Long Island City, with new stations at Greenpoint Avenue, Haberman, Grand Avenue, Fresh Pond, Metro Mall, 80th St, Woodhaven Blvd, and Richmond Hill."
Lower Montauk Branch Reactivation,Objectives,Increase transit options for underserved communities and improve network connections for intra- and inter-borough travelers; provide opportunities for development and growth near stations; utilize/leverage existing right-of-way.
Lower Montauk Branch Reactivation,Total Construction Cost ($2027),"$4,230,000,000 "
Lower Montauk Branch Reactivation,Cost: Vehicles ($2027),"$15,219,000 "
Lower Montauk Branch Reactivation,Annual O&M Cost ($2027),"$23,000,000 "
Lower Montauk Branch Reactivation,Daily Riders (2045),"9,200"
Lower Montauk Branch Reactivation,New Daily Riders (2045),"6,400"
Lower Montauk Branch Reactivation,Equity Area Riders (2045),"6,950"
Lower Montauk Branch Reactivation,Travel Time Saved Per Trip (minutes),1.1
Lower Montauk Branch Reactivation,Cost/Time Saved metric,Cost/minute
Lower Montauk Branch Reactivation,Cost/Time Saved result,$62.41 
Lower Montauk Branch Reactivation,Cost/Time Saved score,0
Lower Montauk Branch Reactivation,Equity metric,Percent
Lower Montauk Branch Reactivation,Equity result,75.90%
Lower Montauk Branch Reactivation,Equity score,70
Lower Montauk Branch Reactivation,Sustainability metric,Change in daily vehicle miles traveled
Lower Montauk Branch Reactivation,Sustainability result,"-38,094"
Lower Montauk Branch Reactivation,Sustainability score,63
Lower Montauk Branch Reactivation,Resiliency metric,Number of Rail Connections
Lower Montauk Branch Reactivation,Resiliency result,8
Lower Montauk Branch Reactivation,Resiliency score,44
Lower Montauk Branch Reactivation,Capacity metric,Change in passenger hours
Lower Montauk Branch Reactivation,Capacity result,"1,101"
Lower Montauk Branch Reactivation,Capacity score,0
Lower Montauk Branch Reactivation,Geographic distribution metric,Change in hours
Lower Montauk Branch Reactivation,Geographic distribution result,"-3,947"
Lower Montauk Branch Reactivation,Geographic distribution score,14
Lower Montauk Branch Reactivation,Network leverage metric,Percent
Lower Montauk Branch Reactivation,Network leverage result,1
Lower Montauk Branch Reactivation,Network leverage score,100
Lower Montauk Branch Reactivation,Cost: Guideway and Track Elements,"$410,808,000 "
Lower Montauk Branch Reactivation,"Cost: Stations, Stops, Terminals, Intermodal","$239,182,000 "
Lower Montauk Branch Reactivation,Cost: Support Facilities,"$18,981,000 "
Lower Montauk Branch Reactivation,Cost: Sitework and Special Considerations,"$638,245,000 "
Lower Montauk Branch Reactivation,Cost: Systems,"$78,952,000 "
Lower Montauk Branch Reactivation,Cost: Engineering Contingency,"$244,618,000 "
Lower Montauk Branch Reactivation,"Cost: Right-of-Way (ROW), Land, and Existing Improvements","$13,602,000 "
Lower Montauk Branch Reactivation,Cost: Professional Services,"$811,641,000 "
Lower Montauk Branch Reactivation,Cost: Contingency,"$326,157,000 "
Lower Montauk Branch Reactivation,Cost: Original Estimate Year,2016
Lower Montauk Branch Reactivation,Cost: Escalation from original estimate year to Q1 2022 (varies),"$721,977,000 "
Lower Montauk Branch Reactivation,Cost: Escalation from Q1 2022 to Q3 2027,"$729,889,000 "
Lower Montauk Branch Reactivation,Cost: Escalation from Q1 2023 to Q3 2027,N/A
Lower Montauk Branch Reactivation,Network Leverage: % on MTA Right of Way,100%
Lower Montauk Branch Reactivation,Network Leverage: % on Public Right of Way,0%
Lower Montauk Branch Reactivation,Network Leverage: % on Private Right of Way,0%
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Description,Extension of the New Lots Avenue 3 Line on an elevated structure southeast past Livonia Yard to a new terminal in the vicinity of Spring Creek and Gateway Center Mall.
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Objectives,Reduce travel times and increase reliability for residents and workers in underserved communities; provide better connectivity to existing subway network.
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Total Construction Cost ($2027),"$2,530,000,000 "
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Cost: Vehicles ($2027),"$101,160,000 "
New Lots Avenue 3 Line Extension Alternative Considered: Spring Creek,Annual O&M Cost ($2027),"$26,000,000 "
