Agency,Asset Category,Asset,Asset Sub-Category/Components,Total,Units,Condition Criteria,Condition Criteria Percent
NYCT,Shops and yards,Rail Storage Yards (24 Rail Yards),Yard Track,102,Miles,Percent in Poor/Marginal Condition,0.25
NYCT,Shops and yards,Rail Storage Yards (24 Rail Yards),Yard Signal,23,Each,Percent in Poor/Marginal Condition,0.42
NYCT,Shops and yards,Rail Storage Yards (24 Rail Yards),Yard Switch,874,Each,Percent in Poor/Marginal Condition,0.19
NYCT,Shops and yards,Car Washer (8 Car Washers),Enclosures,8,Each,Percent in Poor/Marginal Condition,0.13
NYCT,Shops and yards,Car Washer (8 Car Washers),Equipment,8,Each,Percent in Poor/Marginal Condition,0.13
NYCT,Shops and yards,Car Washer (8 Car Washers),Lighting,8,Each,Percent in Poor/Marginal Condition,0.13
NYCT,Shops and yards,Car Washer (8 Car Washers),Electrical,8,Each,Percent in Poor/Marginal Condition,0
NYCT,Shops and yards,Car Washer (8 Car Washers),Plumbing and Drain,8,Each,Percent in Poor/Marginal Condition,0.13
NYCT,Shops and yards,Maintenance Support Shops,Roof,29,Each,Percent in Poor/Marginal Condition,0.69
NYCT,Shops and yards,Maintenance Support Shops,HVAC,29,Each,Percent in Poor/Marginal Condition,0.48
NYCT,Shops and yards,Maintenance Support Shops,Exterior,29,Each,Percent in Poor/Marginal Condition,0.48
NYCT,Shops and yards,Maintenance Support Shops,Building Structure,29,Each,Percent in Poor/Marginal Condition,0.38
NYCT,Shops and yards,Maintenance Support Shops,Electrical,29,Each,Percent in Poor/Marginal Condition,0.55
NYCT,Shops and yards,Maintenance Support Shops,Employee Facilities,29,Each,Percent in Poor/Marginal Condition,0.45
NYCT,Shops and yards,Maintenance Support Shops,Heavy Shop Equipment,29,Each,Percent in Poor/Marginal Condition,0.31
NYCT,Shops and yards,SIR Maintenance Shops,Overall Rating,2,Each,Percent in Poor/Marginal Condition,0.5
NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Roof,38,Each,Percent in Poor/Marginal Condition,0.29
NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Boiler,38,Each,Percent in Poor/Marginal Condition,0.21
NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Air Curtain,31,Each,Percent in Poor/Marginal Condition,0.26
NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Ventilation,38,Each,Percent in Poor/Marginal Condition,0.42
NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Architectural/Structural,38,Each,Percent in Poor/Marginal Condition,0.24
NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Electrical,38,Each,Percent in Poor/Marginal Condition,0.37
NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Lighting,38,Each,Percent in Poor/Marginal Condition,0.26
NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Elevator,19,Each,Percent in Poor/Marginal Condition,0.16
NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Employee Facilities,38,Each,Percent in Poor/Marginal Condition,0.39
NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Admin Office,38,Each,Percent in Poor/Marginal Condition,0.45
NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Emergency Generators,31,Each,Percent in Poor/Marginal Condition,0.42
NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Fire Alarm and Suppression,38,Each,Percent in Poor/Marginal Condition,0.21
NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,Bus Wash,29,Each,Percent in Poor/Marginal Condition,0.07
NYCT,Depot and bus maintenance facilities,Depot and bus maintenance facilities,All Rated Bus Depot/Facility Components,452,Each,Percent in Poor/Marginal Condition,0.31
NYCT,Station Structures and Components,Station Structures and Components,Platform Canopies,436,Each,Percent in Poor/Marginal Condition,0.08
NYCT,Station Structures and Components,Station Structures and Components,"Mezzanine Floors, Columns, Walls, and Ceilings","3,246",Each,Percent in Poor/Marginal Condition,0.1
NYCT,Station Structures and Components,Station Structures and Components,Platform Edges,"1,198",Each,Percent in Poor/Marginal Condition,0.36
NYCT,Station Structures and Components,Station Structures and Components,"Platform Floors, Columns, Walls, and Ceilings","3,276",Each,Percent in Poor/Marginal Condition,0.13
NYCT,Station Structures and Components,Station Structures and Components,Stairways,"5,502",Each,Percent in Poor/Marginal Condition,0.13
NYCT,Station Structures and Components,Station Structures and Components,Passive Ventilation Systems,"2,425",Each,Percent in Poor/Marginal Condition,0.39
NYCT,Station Structures and Components,Station Structures and Components,Windscreens (above-ground station platform fencing),214,Each,Percent in Poor/Marginal Condition,0.21
NYCT,Station Structures and Components,Station Structures and Components,Electrical Distribution Rooms,916,Each,Percent in Poor/Marginal Condition,0.15
NYCT,"Accessibility, Elevators, and Escalators","Accessibility, Elevators, and Escalators",Elevator - Hydraulic,246,Each,Percent in Poor/Marginal Condition,0
NYCT,"Accessibility, Elevators, and Escalators","Accessibility, Elevators, and Escalators",Elevator - Traction,60,Each,Percent in Poor/Marginal Condition,0
NYCT,"Accessibility, Elevators, and Escalators","Accessibility, Elevators, and Escalators",Escalator,231,Each,Percent in Poor/Marginal Condition,0.06
NYCT,Station Communication Systems,Station Communication Systems,Public Address/Customer Information Screens,472,Each,Percent in Poor/Marginal Condition,0.52
NYCT,Station Communication Systems,Station Communication Systems,Help Points,"1,886",Each,Percent in Poor/Marginal Condition,0.01
NYCT,Station Communication Systems,Station Communication Systems,ADA Farecard Access System,278,Each,Percent in Poor/Marginal Condition,0
NYCT,Station Communication Systems,Station Communication Systems,Fare Collection Vending Machines (transitioning to configurable vending machines and changing quantity for OMNY cards),"1,720",Each,Percent in Poor/Marginal Condition,0
NYCT,Station Communication Systems,Station Communication Systems,Fare Collection Electronic Turnstiles,"4,461",Each,Percent in Poor/Marginal Condition,0
NYCT,Station Communication Systems,Station Communication Systems,Emergency Booth Communication System,478,Each,Percent in Poor/Marginal Condition,0
NYCT,Station Communication Systems,Station Communication Systems,"NYCT Station CCTV (cameras, monitors, and recorders for emergency alarm, passenger ID, police security, platform edge, and crowd control)","11,210",Each,Percent in Poor/Marginal Condition,0.55
NYCT,Station Communication Systems,Station Communication Systems,SIR Station CCTV,406,Each,Percent in Poor/Marginal Condition,1
NYCT,Line structures,Line structures,Elevated,61,Miles,Percentage of Miles with High Defect Concentration,0.08
NYCT,Line structures,Line structures,Viaduct,9.3,Miles,Percentage of Miles with High Defect Concentration,0.58
NYCT,Line structures,Line structures,Open Cut,10.6,Miles,Percentage of Miles with High Defect Concentration,0.05
NYCT,Line structures,Line structures,Subway,155.4,Miles,Percentage of Miles with High Defect Concentration,0.29
NYCT,Line structures,Line structures,Embankment,15.2,Miles,Percentage of Miles with High Defect Concentration,0.02
NYCT,Line structures,Staten Island Railway,At-Grade,12,Miles,Percent in Poor/Marginal Condition,0.83
NYCT,Line structures,Staten Island Railway,Bridge,0.4,Miles,Percent in Poor/Marginal Condition,0.24
NYCT,Line structures,Staten Island Railway,Elevated,1.1,Miles,Percent in Poor/Marginal Condition,1
NYCT,Line structures,Staten Island Railway,Open Cut,1,Miles,Percent in Poor/Marginal Condition,0
NYCT,Line structures,Staten Island Railway,Tunnel,0.2,Miles,Percent in Poor/Marginal Condition,1
NYCT,Line structures,Staten Island Railway,Fencing,27,Miles,Percent in Poor/Marginal Condition,0.08
NYCT,Line structures,Elevated steel structure paint status,Elevated steel structure paint status,11.3,Miles,Percent in Poor/Marginal Condition,0.18
NYCT,Line structures,Elevated steel structure paint status,Elevated steel structure paint status,31.2,Miles,Percent in Good Condition,0.49
NYCT,Line structures,Elevated steel structure paint status,Elevated steel structure paint status,20.8,Miles,Percent Under Construction,0.33
NYCT,Track,Track,Mainline Revenue,665,Miles,Percent with Remaining Life Less Than 6 Years,0.11
NYCT,Track,Track,Non-Revenue,39,Miles,Percent with Remaining Life Less Than 6 Years,0.12
NYCT,Track,Track,Yard,102,Miles,Percent with Remaining Life Less Than 6 Years,0.13
NYCT,Track,Track,Mainline Switches,"1,770",Each,Percent with Remaining Life Less Than 6 Years,0.16
NYCT,Track,Track,Yard Switches,874,Each,Percent with Remaining Life Less Than 6 Years,0.11
NYCT,Track,Track,SIR - Mainline,29,Miles,Percent with Remaining Life Less Than 6 Years,0.07
NYCT,Track,Track,SIR - Non-Revenue,3,Miles,Percent with Remaining Life Less Than 6 Years,0.11
NYCT,Track,Track,SIR - Switches,62,Each,Percent with Remaining Life Less Than 6 Years,0.13
NYCT,Signals and train control,Signals and train control,Mainline Signals,763,Miles,Percent in Poor/Marginal Condition,0.24
NYCT,Signals and train control,Signals and train control,Mainline Interlockings,183,Each,Percent in Poor/Marginal Condition,0.23
NYCT,Signals and train control,Signals and train control,Yard Signals,23,Each,Percent in Poor/Marginal Condition,0.43
NYCT,Signals and train control,Signals and train control,Yard Interlockings,20,Each,Percent in Poor/Marginal Condition,0.3
NYCT,Signals and train control,Signals and train control,SIR - Signals,31,Miles,Percent in Poor/Marginal Condition,0.03
NYCT,Signals and train control,Signals and train control,SIR - Interlockings,14,Each,Percent in Poor/Marginal Condition,0.07
NYCT,Signals and train control,Signals and train control,Modernized signaling status,529,Miles,Conventional Fixed Block,0.69
NYCT,Signals and train control,Signals and train control,Modernized signaling status,52,Miles,Modernization complete,0.07
NYCT,Signals and train control,Signals and train control,Modernized signaling status,182,Miles,In Construction or to be Awarded by 2024,0.24
NYCT,Traction power,Substation,Overall,224,Each,Percent in Poor/Marginal Condition,0.36
NYCT,Traction power,Substation,Transformers,392,Each,Percent in Poor/Marginal Condition,0.15
NYCT,Traction power,Substation,Rectifiers,394,Each,Percent in Poor/Marginal Condition,0.13
NYCT,Traction power,Substation,HT Switchgear,393,Each,Percent in Poor/Marginal Condition,0.25
NYCT,Traction power,Substation,DC Feeder Breakers,"1,461",Each,Percent in Poor/Marginal Condition,0.18
NYCT,Traction power,Substation,Structural Elements,224,Each,Percent in Poor/Marginal Condition,0.26
NYCT,Traction power,Circuit Breaker Houses,Overall,317,Each,Percent in Poor/Marginal Condition,0.27
NYCT,Traction power,Circuit Breaker Houses,Breakers,"1,802",Each,Percent in Poor/Marginal Condition,0.3
NYCT,Traction power,Traction power,SCADA System Control Zones,93,Each,Percent in Poor/Marginal Condition,0.34
NYCT,Traction power,Traction power,Emergency Alarm/Emergency Telephone,"2,627",Each,Percent in Poor/Marginal Condition,0.26
NYCT,Traction power,Traction power,SIR - Substations,9,Each,Percent in Poor/Marginal Condition,0.11
NYCT,Traction power,Traction power,SIR - Substation Components,119,Each,Percent in Poor/Marginal Condition,0.45
NYCT,Traction power,Traction power,SIR - Circuit Breaker Houses,4,Each,Percent in Poor/Marginal Condition,1
NYCT,Traction power,Traction power,SIR - Circuit Breaker House Breakers,13,Each,Percent in Poor/Marginal Condition,1
NYCT,Line equipment,Line equipment,Deep Wells,23,Each,Percent in Poor/Marginal Condition,0
NYCT,Line equipment,Line equipment,Fan Plants,209,Each,Percent in Poor/Marginal Condition,0.29
NYCT,Line equipment,Line equipment,Pump Rooms (ROW),254,Each,Percent in Poor/Marginal Condition,0.11
NYCT,Line equipment,Line equipment,Tunnel Lighting,440,Miles,Percent in Poor/Marginal Condition,0.04
NYCT,Communication infrastructure and systems,Backbone communication infrastructure,Fiber Cable,896,Miles,Percent in Poor/Marginal Condition,0.82
NYCT,Communication infrastructure and systems,Backbone communication infrastructure,Fiber Nodes (support transmission equipment),85,Each,Percent in Poor/Marginal Condition,0.37
NYCT,Communication infrastructure and systems,Backbone communication infrastructure,Fiber Rings (supporting critical functions composed of interconnected nodes),7,Each,Percent in Poor/Marginal Condition,0.43
NYCT,Communication infrastructure and systems,Backbone communication infrastructure,Antenna Cable,200,Miles,Percent in Poor/Marginal Condition,0.21
NYCT,Communication infrastructure and systems,Backbone communication infrastructure,Copper Cable,561,Miles,Percent in Poor/Marginal Condition,0.65
NYCT,Communication infrastructure and systems,Backbone communication infrastructure,UHF/VHF Radio Equipment,464,Each,Percent in Poor/Marginal Condition,0.69
NYCT,Communication infrastructure and systems,Backbone communication infrastructure,SIR - Fiber Optic Cable,145,Miles,Percent in Poor/Marginal Condition,0.11
NYCT,Communication infrastructure and systems,Secondary communication infrastructure,Communication Rooms,478,Each,Percent in Poor/Marginal Condition,0.27
NYCT,Communication infrastructure and systems,Secondary communication infrastructure,Passenger Station Local Area Network (PSLAN),472,Each,Percent in Poor/Marginal Condition,0.46
NYCT,Communication infrastructure and systems,Secondary communication infrastructure,Connection Oriented Ethernet (COE),1,System,Percent in Poor/Marginal Condition,0
NYCT,Communication infrastructure and systems,Secondary communication infrastructure,Private Branch Exchange,8,Each,Percent in Poor/Marginal Condition,0
NYCT,Work trains and service vehicles,Work trains and service vehicles,Ballast Regulator,4,Each,Percent Beyond Useful Life,0.5
NYCT,Work trains and service vehicles,Work trains and service vehicles,Crane Car-1 Ton,17,Each,Percent Beyond Useful Life,0.29
NYCT,Work trains and service vehicles,Work trains and service vehicles,Crane Car-10 Ton,9,Each,Percent Beyond Useful Life,0
NYCT,Work trains and service vehicles,Work trains and service vehicles,Crane Car-3 Ton,12,Each,Percent Beyond Useful Life,0
NYCT,Work trains and service vehicles,Work trains and service vehicles,CWR Car,32,Each,Percent Beyond Useful Life,0.5
NYCT,Work trains and service vehicles,Work trains and service vehicles,De-Icer Car,8,Each,Percent Beyond Useful Life,1
NYCT,Work trains and service vehicles,Work trains and service vehicles,Flat Car,243,Each,Percent Beyond Useful Life,0.31
NYCT,Work trains and service vehicles,Work trains and service vehicles,Hopper Car,28,Each,Percent Beyond Useful Life,1
NYCT,Work trains and service vehicles,Work trains and service vehicles,Hose and Reach Car,9,Each,Percent Beyond Useful Life,1
NYCT,Work trains and service vehicles,Work trains and service vehicles,"Locomotive, Diesel",100,Each,Percent Beyond Useful Life,0.17
NYCT,Work trains and service vehicles,Work trains and service vehicles,Pump Car,9,Each,Percent Beyond Useful Life,1
NYCT,Work trains and service vehicles,Work trains and service vehicles,Pump Flat Car,2,Each,Percent Beyond Useful Life,0
NYCT,Work trains and service vehicles,Work trains and service vehicles,Rail Adhesion,3,Each,Percent Beyond Useful Life,1
NYCT,Work trains and service vehicles,Work trains and service vehicles,Refuse Coll. Prop.,18,Each,Percent Beyond Useful Life,1
NYCT,Work trains and service vehicles,Work trains and service vehicles,Refuse Flat,27,Each,Percent Beyond Useful Life,1
NYCT,Work trains and service vehicles,Work trains and service vehicles,Rider Car,39,Each,Percent Beyond Useful Life,1
NYCT,Work trains and service vehicles,Work trains and service vehicles,Signal Supply Car,2,Each,Percent Beyond Useful Life,1
NYCT,Work trains and service vehicles,Work trains and service vehicles,Snow Removal Car,5,Each,Percent Beyond Useful Life,1
NYCT,Work trains and service vehicles,Work trains and service vehicles,Snow Thrower,12,Each,Percent Beyond Useful Life,0.33
NYCT,Work trains and service vehicles,Work trains and service vehicles,Tamper,4,Each,Percent Beyond Useful Life,0
NYCT,Work trains and service vehicles,Work trains and service vehicles,Tank Car,3,Each,Percent Beyond Useful Life,1
NYCT,Work trains and service vehicles,Work trains and service vehicles,Track Geometry,4,Each,Percent Beyond Useful Life,0.5
NYCT,Work trains and service vehicles,Work trains and service vehicles,Vacuum Train Car,12,Each,Percent Beyond Useful Life,0
NYCT,Work trains and service vehicles,Work trains and service vehicles,Weld Car,2,Each,Percent Beyond Useful Life,1
NYCT,Work trains and service vehicles,Work trains and service vehicles,Work Motor,39,Each,Percent Beyond Useful Life,1
LIRR,"Shops, yards, and facilities",Employee Facility,Conveyance (elevator and escalators),5,Each,Percent in Poor/Marginal Condition,0
LIRR,"Shops, yards, and facilities",Employee Facility,"Electrical (electrical - load, panels, light)",16,Each,Percent in Poor/Marginal Condition,0.31
LIRR,"Shops, yards, and facilities",Employee Facility,Shop Equipment (Generator/ATS/UPS),3,Each,Percent in Poor/Marginal Condition,0.67
LIRR,"Shops, yards, and facilities",Employee Facility,"Fire Protection, Security",15,Each,Percent in Poor/Marginal Condition,0.33
LIRR,"Shops, yards, and facilities",Employee Facility,"HVAC (heating, ventilation, and air conditioning)",31,Each,Percent in Poor/Marginal Condition,0.32
LIRR,"Shops, yards, and facilities",Employee Facility,"Interior (interior walls, stairwells, restrooms)",39,Each,Percent in Poor/Marginal Condition,0.46
LIRR,"Shops, yards, and facilities",Employee Facility,"Plumbing (sanitary waste, drainage, etc.)",16,Each,Percent in Poor/Marginal Condition,0.13
LIRR,"Shops, yards, and facilities",Employee Facility,"Shell (Roof, doors, windows, facade)",62,Each,Percent in Poor/Marginal Condition,0.34
LIRR,"Shops, yards, and facilities",Employee Facility,"Site (roadways, parking lot, pedestrian bridge, platform, sidewalk, walkway, sidewalk/ramp, etc.)",48,Each,Percent in Poor/Marginal Condition,0.19
LIRR,"Shops, yards, and facilities",Shops,Conveyance (elevator and escalators),3,Each,Percent in Poor/Marginal Condition,0
LIRR,"Shops, yards, and facilities",Shops,"Electrical (electrical distribution, lighting, etc.)",10,Each,Percent in Poor/Marginal Condition,0.3
LIRR,"Shops, yards, and facilities",Shops,Shop Equipment,6,Each,Percent in Poor/Marginal Condition,0.17
LIRR,"Shops, yards, and facilities",Shops,"Fire Protection, Security",8,Each,Percent in Poor/Marginal Condition,0.38
LIRR,"Shops, yards, and facilities",Shops,"HVAC (heating, ventilation, and air conditioning)",19,Each,Percent in Poor/Marginal Condition,0.05
LIRR,"Shops, yards, and facilities",Shops,"Interior (walls, restrooms, stairs)",19,Each,Percent in Poor/Marginal Condition,0.16
LIRR,"Shops, yards, and facilities",Shops,"Plumbing (sanitary waste, drainage, etc.)",10,Each,Percent in Poor/Marginal Condition,0.2
LIRR,"Shops, yards, and facilities",Shops,"Shell (structure, floor, windows, doors, etc.)",39,Each,Percent in Poor/Marginal Condition,0.13
LIRR,"Shops, yards, and facilities",Shops,"Site (sidewalks, ramps, parking lot, security fence)",21,Each,Percent in Poor/Marginal Condition,0.14
LIRR,"Shops, yards, and facilities",Shops,Rolling Stock Support Equipment,"1,105",Each,Percent in Poor/Marginal Condition,0.84
LIRR,"Shops, yards, and facilities",Yards,"Electrical (electrical distribution, lighting, etc.)",6,Each,Percent in Poor/Marginal Condition,0.17
LIRR,"Shops, yards, and facilities",Yards,"Fire Protection, Security",3,Each,Percent in Poor/Marginal Condition,0
LIRR,"Shops, yards, and facilities",Yards,"HVAC (Heating, ventilation, and air conditioning)",12,Each,Percent in Poor/Marginal Condition,0.25
LIRR,"Shops, yards, and facilities",Yards,"Interior (walls, doors, stairs)",12,Each,Percent in Poor/Marginal Condition,0.25
LIRR,"Shops, yards, and facilities",Yards,"Plumbing (sanitary waste, drainage, etc.)",6,Each,Percent in Poor/Marginal Condition,0.17
LIRR,"Shops, yards, and facilities",Yards,"Shell (structure, floor, windows, etc.)",22,Each,Percent in Poor/Marginal Condition,0.23
LIRR,"Shops, yards, and facilities",Yards,"Site (roadways, misc. structures, etc.)",13,Each,Percent in Poor/Marginal Condition,0.23
LIRR,"Shops, yards, and facilities",Yards,Work Locomotives,33,Each,Percent in Poor/Marginal Condition,0.94
LIRR,Stations,Platform components,ADA Ramp,152,Each,Percent in Poor/Marginal Condition,0.07
LIRR,Stations,Platform components,Platform Substructure,206,Each,Percent in Poor/Marginal Condition,0.19
LIRR,Stations,Platform components,Platform Slabs,206,Each,Percent in Poor/Marginal Condition,0.19
LIRR,Stations,Platform components,Platform Joints,206,Each,Percent in Poor/Marginal Condition,0.15
LIRR,Stations,Platform components,Platform Railing,157,Each,Percent in Poor/Marginal Condition,0.05
LIRR,Stations,Platform components,Platform Waiting Room,29,Each,Percent in Poor/Marginal Condition,0
LIRR,Stations,Platform components,Canopy,100,Each,Percent in Poor/Marginal Condition,0.24
LIRR,Stations,Platform components,Shelter,182,Each,Percent in Poor/Marginal Condition,0.06
LIRR,Stations,Platform components,Stairs,751,Each,Percent in Poor/Marginal Condition,0.05
LIRR,Stations,Elevators & Escalators,Elevators,50,Each,Percent in Poor/Marginal Condition,0.32
LIRR,Stations,Elevators & Escalators,Escalators,19,Each,Percent in Poor/Marginal Condition,0.63
LIRR,Stations,Station Building Components,Station Building Exterior,88,Each,Percent in Poor/Marginal Condition,0.03
LIRR,Stations,Station Building Components,"Station Building Interior (doors, windows, floors, walls, restrooms, security systems, HVAC systems, fire suppression systems)",88,Each,Percent in Poor/Marginal Condition,0.01
LIRR,Stations,Paving,Walkways/Sidewalks,260,Each,Percent in Poor/Marginal Condition,0.05
LIRR,Stations,Parking,Parking (Surface Lot),151,Each,Percent in Poor/Marginal Condition,0.2
LIRR,Stations,Parking,Parking Structure,1,Each,Percent in Poor/Marginal Condition,0
LIRR,Stations,Parking,Parking (Garage),3,Each,Percent in Poor/Marginal Condition,0
LIRR,Passenger station public communications and security,Passenger station public communications and security,AVPS Color Signs,230,Each,Percent in Poor/Marginal Condition,0
LIRR,Passenger station public communications and security,Passenger station public communications and security,"Platform, Large, Indoor, Parking & Safety Signs",506,Each,Percent in Poor/Marginal Condition,0.99
LIRR,Passenger station public communications and security,Passenger station public communications and security,Public Address,122,Each,Percent in Poor/Marginal Condition,0
LIRR,Passenger station public communications and security,Passenger station public communications and security,Security - Access Control Readers,699,Each,Percent in Poor/Marginal Condition,1
LIRR,Passenger station public communications and security,Passenger station public communications and security,Security - Cameras,"2,987",Each,Percent in Poor/Marginal Condition,0.07
LIRR,Passenger station public communications and security,Passenger station public communications and security,Security - Network Video Recorders,292,Each,Percent in Poor/Marginal Condition,0.68
LIRR,Penn Station,"Structural/Architectural (Concourse Ceilings, Floors, Walls, etc.)",Structural Platforms (Platforms & Tactile Edging),"149,800",Square Feet,Percent in Poor/Marginal Condition,1
LIRR,Penn Station,"Structural/Architectural (Concourse Ceilings, Floors, Walls, etc.)",Interior Finishes,"496,500",Square Feet,Percent in Poor/Marginal Condition,0.1
LIRR,Penn Station,"Structural/Architectural (Concourse Ceilings, Floors, Walls, etc.)","Architectural Elements (Canopy, Doors, Staircases, etc.)",111,Each,Percent in Poor/Marginal Condition,0.6
LIRR,Penn Station,"Structural/Architectural (Concourse Ceilings, Floors, Walls, etc.)",Offices/Rooms,"15,235",Square Feet,Percent in Poor/Marginal Condition,0.2
LIRR,Penn Station,Communications,"Communications (Station Announcement Control Board, Video Recording System)",11,Systems,Percent in Poor/Marginal Condition,1
LIRR,Penn Station,Communications,"Passenger Information Assets (Display Boards, Signs, Clocks, etc.)",317,Each,Percent in Poor/Marginal Condition,0.53
LIRR,Penn Station,Communications,Passenger Information Systems,3,System,Percent in Poor/Marginal Condition,0.67
LIRR,Penn Station,Fire and Life Safety,"Fire Protection Assets (FS Dampers, Fire Suppression)",35,Each,Percent in Poor/Marginal Condition,0.09
LIRR,Penn Station,Fire and Life Safety,Fire Protection Linear Assets (Standpipes),2.6,Miles,Percent in Poor/Marginal Condition,1
LIRR,Penn Station,Fire and Life Safety,Fire Protection System,1,System,Percent in Poor/Marginal Condition,0
LIRR,Penn Station,Electrical,PSCI Lighting,1,System,Percent in Poor/Marginal Condition,0
LIRR,Penn Station,Electrical,Cables/Wiring,149,Miles,Percent in Poor/Marginal Condition,0.97
LIRR,Penn Station,Electrical,"Equipment (Panels, Lighting Fixtures, Switches)","6,386",Each,Percent in Poor/Marginal Condition,0.91
LIRR,Penn Station,Mechanical,Mechanical System,2,System,Percent in Poor/Marginal Condition,0
LIRR,Penn Station,Mechanical,"Mechanical Assets (Heaters, Boilers, Pumps, Generators, Lifts, etc.)",68,Each,Percent in Poor/Marginal Condition,0.08
LIRR,Penn Station,Mechanical,Mechanical - Elevators,6,Each,Percent in Poor/Marginal Condition,0
LIRR,Penn Station,Mechanical,Mechanical - Escalators,14,Each,Percent in Poor/Marginal Condition,0
LIRR,Penn Station,Mechanical,Mechanical/ HVAC System,1,System,Percent in Poor/Marginal Condition,0
LIRR,Penn Station,Mechanical,"Mechanical/HVAC System Assets (Fans, Air Handlers, Fan Coil Units, etc.)",166,Each,Percent in Poor/Marginal Condition,0.17
LIRR,Penn Station,Plumbing,Pipes,34,Miles,Percent in Poor/Marginal Condition,0.65
LIRR,Penn Station,Plumbing,"Equipment (Ejector Pumps, Fixtures, Valves, etc.)",337,Each,Percent in Poor/Marginal Condition,0.84
LIRR,Line structures,Line structures,Undergrade Bridge (Structure),504,Each,Percent in Poor/Marginal Condition,0.13
LIRR,Line structures,Line structures,Undergrade Bridge (Waterproofing),409,Each,Percent in Poor/Marginal Condition,0.69
LIRR,Line structures,Line structures,Undergrade Bridge (Painting),390,Each,Percent in Poor/Marginal Condition,0.69
LIRR,Line structures,Line structures,Overgrade Bridge,56,Each,Percent in Poor/Marginal Condition,0.19
LIRR,Line structures,Line structures,Tunnel,4,Each,Percent in Poor/Marginal Condition,0.75
LIRR,Line structures,Line structures,Viaduct,29,Each,Percent in Poor/Marginal Condition,0.24
LIRR,Line structures,Line structures,Retaining Wall,103,Each,Percent in Poor/Marginal Condition,0.18
